price,rooms,address
"$1,430 /mo","2 Beds, 1 Bath","11204 Crystal Ave, Kansas City, MO 64134"
"$1,620 /mo","3 Beds, 1.5 Baths",House for Rent
"$2,195 /mo","4 Beds, 2 Baths","12512 E 58th Terrace, Kansas City, MO 64133"
"$2,310 /mo","3 Beds, 2 Baths",House for Rent
"$1,350/mo","2 Beds, 2.5 Baths","2403 NE Pursell Rd, Kansas City, MO 64118"
"$1,700 /mo","4 Beds, 2 Baths",House for Rent
"$1,275 /mo","3 Beds, 1.5 Baths","5044 N Bellaire Ave, Kansas City, MO 64119"
"$1,100 /mo","3 Beds, 1.5 Baths",House for Rent
"$1,845 /mo","3 Beds, 3 Baths","4327 N Brighton Ave, Kansas City, MO 64117"
"$1,993/mo","1 Bed, 1 Bath",House for Rent
"$1,365 /mo","3 Beds, 1.5 Baths","9952 N Charlotte St, Kansas City, MO 64155"
"$1,190 /mo","3 Beds, 1 Bath",House for Rent
"$1,755 /mo","3 Beds, 2.5 Baths","508 E 109th St, Kansas City, MO 64131"
"$1,395 /mo","3 Beds, 1 Bath",House for Rent
"$1,285 /mo","2 Beds, 1 Bath","4617 NE 83rd Terrace, Kansas City, MO 64119"
$999 /mo,"4 Beds, 1 Bath",Townhome for Rent
"$1,475 /mo","3 Beds, 2 Baths","7933 N Jefferson St, Kansas City, MO 64118"
"$1,205 /mo","3 Beds, 1 Bath",House for Rent
"$2,180 /mo","3 Beds, 2 Baths","9904 Wheeling Ave, Kansas City, MO 64134"
"$1,900 /mo","4 Beds, 2 Baths",House for Rent
"$2,085 /mo","3 Beds, 2 Baths","7111 E 111th Terrace, Kansas City, MO 64134"
"$1,239 /mo","3 Beds, 1 Bath",House for Rent
"$1,245 /mo","3 Beds, 1 Bath","13700 E 50th St, Kansas City, MO 64133"
"$1,973/mo","1 Bed, 1 Bath",House for Rent
"$1,500/mo","1 Bed, 1 Bath","6301 N Klamm Rd, Kansas City, MO 64151"
"$1,365 /mo","3 Beds, 2 Baths",Apartment for Rent
"$1,620 /mo","3 Beds, 2 Baths","8919 Stark Ave, Kansas City, MO 64138"
"$1,195 /mo","3 Beds, 1 Bath",House for Rent
"$2,175 /mo","3 Beds, 2 Baths","7415 E 110th St, Kansas City, MO 64134"
"$1,430 /mo","3 Beds, 1.5 Baths",House for Rent
"$1,140 /mo","3 Beds, 2 Baths","11900 E 57th St, Kansas City, MO 64133"
"$1,060 /mo","3 Beds, 1 Bath",House for Rent
"$1,350/mo","2 Beds, 1 Bath","7615 E 48 Terrace, Kansas City, MO 64129"
"$2,195 /mo","3 Beds, 2.5 Baths",House for Rent
"$2,065 /mo","3 Beds, 3 Baths","10305 N Harrison Ct, Kansas City, MO 64155"
"$1,650 /mo","3 Beds, 1 Bath",House for Rent
"$1,495 /mo","3 Beds, 1 Bath","5400 Olive St, Kansas City, MO 64130"
"$1,345 /mo","3 Beds, 1 Bath",House for Rent
"$1,245 /mo","3 Beds, 2 Baths","5507 Smart Ave, Kansas City, MO 64123"
"$2,345 /mo","3 Beds, 2.5 Baths",House for Rent
"$2,845 /mo","3 Beds, 3.5 Baths","7945 Euclid Ave, Kansas City, MO 64132"
"$3,100 /mo","3 Beds, 3 Baths",House for Rent
"$1,415 /mo","4 Beds, 1.5 Baths","9516 Raytown Rd, Kansas City, MO 64134"
"$1,350 /mo","3 Beds, 2 Baths",House for Rent
"$1,540 /mo","4 Beds, 1 Bath","5526 NW Raintree Dr, Kansas City, MO 64152"
"$1,400 /mo","3 Beds, 2 Baths",House for Rent
"$1,680 /mo","3 Beds, 2 Baths","7925 N Michigan Ave, Kansas City, MO 64118"
"$1,570 /mo","3 Beds, 1 Bath",House for Rent
$750 /mo,"2 Beds, 1 Bath","8339 Mercier St, Kansas City, MO 64114"
"$1,450 /mo","3 Beds, 1 Bath",House for Rent
"$1,500 /mo","3 Beds, 1 Bath","709 NE 45th Terrace, Kansas City, MO 64116"
"$1,265 /mo","3 Beds, 1 Bath",House for Rent
"$1,275 /mo","4 Beds, 1.5 Baths","8304 E 106th Terrace, Kansas City, MO 64134"
"$1,495 /mo","4 Beds, 1 Bath",House for Rent
"$1,195 /mo","2 Beds, 1 Bath","7504 E 111th Terrace, Kansas City, MO 64134"
"$1,620 /mo","2 Beds, 1 Bath",House for Rent
"$1,195 /mo","4 Beds, 1.5 Baths","7903 E 91st Terrace, Kansas City, MO 64138"
"$2,475 /mo","3 Beds, 2 Baths",House for Rent
"$1,049 /mo","2 Beds, 1 Bath","2901 E 61st St, Kansas City, MO 64130"
"$1,960 /mo","3 Beds, 2 Baths",House for Rent
"$1,235 /mo","3 Beds, 1 Bath","2307 NE 59th St, Kansas City, MO 64118"
"$2,550 /mo","3 Beds, 2 Baths",House for Rent
"$1,590 /mo","3 Beds, 1 Bath","5825 Park Ave, Kansas City, MO 64130"
"$1,390 /mo","3 Beds, 2 Baths",House for Rent
"$1,385 /mo","3 Beds, 1 Bath","1853 E 78th St, Kansas City, MO 64132"
$995 /mo,"1 Bed, 1 Bath",House for Rent
"$1,675 /mo","4 Beds, 1.5 Baths","8002 E 89 Terrace, Kansas City, MO 64138"
"$1,905 /mo","3 Beds, 3 Baths",House for Rent
"$1,330 /mo","3 Beds, 1 Bath","5805 E 100th St, Kansas City, MO 64134"
"$1,385 /mo","2 Beds, 1 Bath",House for Rent
"$1,990 /mo","3 Beds, 2 Baths","11216 Manchester Ave, Kansas City, MO 64134"
"$1,880 /mo","3 Beds, 1.5 Baths",House for Rent
$800 /mo,"1 Bed, 1 Bath","4017 S Benton Ave, Kansas City, MO 64130"
"$1,720 /mo","3 Beds, 2.5 Baths",House for Rent
"$1,845 /mo","3 Beds, 2 Baths","13617 Spring St, Grandview, MO 64030"
"$1,385 /mo","3 Beds, 2 Baths",House for Rent
"$1,525 /mo","3 Beds, 2 Baths","6200 E 150th St, Grandview, MO 64030"
"$2,010 /mo","3 Beds, 3 Baths",House for Rent
"$1,495 /mo","3 Beds, 2 Baths","5936 Sterling Ave, Raytown, MO 64133"
"$1,800 /mo","3 Beds, 2 Baths",House for Rent
"$1,135 /mo","3 Beds, 2 Baths","6703 S Brookside Rd, Pleasant Valley, MO 64068"
"$1,375/mo","3 Beds, 1 Bath",House for Rent
"$2,240 /mo","4 Beds, 2.1 Baths","13144 Ashland Ave, Grandview, MO 64030"
"$2,045 /mo","4 Beds, 2 Baths",House for Rent
"$3,670 /mo","5 Beds, 3.5 Baths","12012 Belmont Ave, Grandview, MO 64030"
"$1,470 /mo","3 Beds, 2 Baths",House for Rent
"$1,855 /mo","3 Beds, 2 Baths","6324 Hunter St, Raytown, MO 64133"
"$1,950 /mo","3 Beds, 2.5 Baths",House for Rent
"$2,160 /mo","3 Beds, 2.5 Baths","8720 E 61st St, Raytown, MO 64129"
"$1,850 /mo","4 Beds, 2 Baths",Townhome for Rent
"$1,815 /mo","3 Beds, 2.5 Baths","3909 S Summit Ridge Dr, Independence, MO 64055"
"$1,765 /mo","4 Beds, 2 Baths",House for Rent
"$1,565 /mo","3 Beds, 1 Bath","13209 Donnelly Ave, Grandview, MO 64030"
"$1,500 /mo","3 Beds, 1.5 Baths",House for Rent
"$1,540 /mo","4 Beds, 2.5 Baths","141 Whitman Dr, Lee&#39;s Summit, MO 64081"
"$1,295 /mo","3 Beds, 2 Baths",House for Rent
"$1,380 /mo","3 Beds, 1.5 Baths","13001 E 51st Terrace, Independence, MO 64055"
"$1,875 /mo","3 Beds, 2 Baths",House for Rent
"$2,795 /mo","4 Beds, 3.5 Baths","15505 Vicie Ave, Belton, MO 64012"
"$2,795 /mo","4 Beds, 3.5 Baths",House for Rent
"$1,875 /mo","3 Beds, 2 Baths","11419 E 58th Terrace, Raytown, MO 64133"
"$1,745 /mo","3 Beds, 2 Baths",House for Rent
"$1,745 /mo","3 Beds, 2 Baths","7307 Chaddy Cir, Pleasant Valley, MO 64068"
"$1,830 /mo","3 Beds, 2 Baths",House for Rent
"$1,310 /mo","3 Beds, 1 Bath","4213 Mission Rd, Kansas City, KS 66103"
"$1,599/mo","1 Bed, 2 Baths",House for Rent
$885/mo,"2 Beds, 1 Bath","7505 E 134th St, Grandview, MO 64030"
"$1,345/mo","2 Beds, 1 Bath",House for Rent
"$1,245/mo","1 Bed, 1 Bath","15601 Vicie Ave, Belton, MO 64012"
"$1,500/mo","3 Beds, 1.5 Baths",House for Rent
"$1,495/mo","2 Beds, 2 Baths","13610-13612 12 St, Grandview, MO 64030"
"$1,250/mo","1 Bed, 1 Bath",House for Rent
"$1,550/mo","3 Beds, 2.5 Baths","5125 S Cottage Ave, Independence, MO 64055"
"$1,400 /mo","2 Beds, 1 Bath",House for Rent
"$1,450 /mo","3 Beds, 2 Baths","703 E 34th St, Kansas City, MO 64109"
"$1,200/mo","2 Beds, 1 Bath",House for Rent
"$1,800 /mo","3 Beds, 1.5 Baths","11004 NW Player Dr, Kansas City, MO 64152"
$900/mo,"2 Beds, 1 Bath",Townhome for Rent
$850/mo,"Studio, 1 Bath","6213 Harrison St, Kansas City, MO 64110"
"$1,050/mo","Studio, 1 Bath",House for Rent
"$1,595 /mo","4 Beds, 2 Baths","10904 NW CROOKED RD APT D, Kansas City, MO 64152"
$850 /mo,"2 Beds, 1 Bath",Apartment for Rent
"$1,095/mo","2 Beds, 2 Baths","600 E 8th St, Kansas City, MO 64106"
$850 /mo,"1 Bed, 1 Bath",Condo for Rent
"$1,750/mo","1 Bed, 1.5 Baths","706 Broadway Blvd, Kansas City, MO 64105"
"$1,300/mo","1 Bed, 1 Bath",Condo for Rent
"$1,000/mo","2 Beds, 1 Bath","800 NE 112th Ter, Kansas City, MO 64155"
"$1,925 /mo","4 Beds, 3 Baths",House for Rent
$999 /mo,"4 Beds, 1 Bath","426 Wabash Ave, Kansas City, MO 64124"
"$1,650 /mo","3 Beds, 1.5 Baths",House for Rent
"$1,800 /mo","2 Beds, 1 Bath","8600 Countryshire Ln, Kansas City, MO 64138"
$875 /mo,"2 Beds, 1 Bath",Apartment for Rent
$865/mo,"2 Beds, 1 Bath","4207 Harrison St, Kansas City, MO 64110"
"$1,600 - 2,100/mo","2-4 Beds, 1-2 Baths",House for Rent
"$1,750/mo","4 Beds, 2 Baths","4521 Wornall Rd, Kansas City, MO 64111"
"$1,650/mo","3 Beds, 2.5 Baths",Condo for Rent
"$1,800 /mo","3 Beds, 2 Baths","2940 Baltimore Ave, Kansas City, MO 64108"
"$3,165 /mo","4 Beds, 3 Baths",Condo for Rent
"$1,500 /mo","2 Beds, 1 Bath","509 Van Brunt Blvd, Kansas City, MO 64124"
"$2,100 /mo","4 Beds, 3 Baths",Apartment for Rent
"$1,800/mo","2 Beds, 2 Baths","3604 S Benton Ave, Kansas City, MO 64128"
"$1,630/mo","2 Beds, 2 Baths",House for Rent
$950/mo,"1 Bed, 1 Bath","3402 Norton Ave, Kansas City, MO 64128"
"$1,250/mo","2 Beds, 1.5 Baths",House for Rent
"$1,850/mo","2 Beds, 2 Baths","9223 Central St, Kansas City, MO 64114"
$975/mo,"1 Bed, 1 Bath",House for Rent
"$2,495/mo","2 Beds, 2 Baths","3312 NE 55th St, Kansas City, MO 64119"
"$2,800 - 4,500/mo","2 Beds, 2.5 Baths",House for Rent
"$1,400/mo","3 Beds, 2 Baths","4529 S Benton Ave, Kansas City, MO 64130"
"$2,000/mo","2 Beds, 1 Bath",House for Rent
"$2,300/mo","2 Beds, 1 Bath","730 NE 68th St, Gladstone, MO 64118"
"$1,900/mo","2 Beds, 2 Baths",Apartment for Rent
"$1,700/mo","4 Beds, 2.5 Baths","2506 W 43rd Ave, Kansas City, KS 66103"
"$1,500/mo","3 Beds, 1 Bath",Townhome for Rent
"$1,050/mo","2 Beds, 1 Bath","5814 Forest Ave, Kansas City, MO 64110"
"$1,520/mo","2 Beds, 2.5 Baths",Townhouse for Rent
"$1,995/mo","1 Bed, 1 Bath","1321A NE 39th St, Kansas City, MO 64116"
"$1,995/mo","2 Beds, 2.5 Baths",Townhouse for Rent
"$1,650/mo","3 Beds, 1.5 Baths","4521 Wornall Rd, Kansas City, MO 64111"
"$4,000 - 6,000/mo","2-4 Beds, 2-3 Baths",Condo for Rent
"$900 - 1,500/mo","Studio - 2 Beds, 1-2 Baths","3804 Pennsylvania Ave, Kansas City, MO 64111"
"$1,950/mo","2 Beds, 2 Baths",Townhouse for Rent
"$3,450 /mo","3 Beds, 3.5 Baths","9221 Central St, Kansas City, MO 64114"
"$1,495 - 1,575/mo","1 Bed, 1 Bath",Townhouse for Rent
"$1,999/mo","1 Bed, 1 Bath","1715 Summit St, Kansas City, MO 64108"
"$1,195/mo","4 Beds, 2 Baths",Condo for Rent
"$1,200/mo","2 Beds, 2 Baths","600 E 8th St, Kansas City, MO 64106"
"$3,688 /mo","3 Beds, 3.5 Baths",Condo for Rent
"$1,750/mo","1 Bed, 1 Bath","2107 Grand Blvd, Kansas City, MO 64108"
"$1,600/mo","2 Beds, 1 Bath",Condo for Rent
"$950 - 1,025/mo","1-2 Beds, 1 Bath","1831 Mercier St, Kansas City, MO 64108"
"$2,795/mo","2 Beds, 2 Baths",House for Rent
"$1,680 /mo","3 Beds, 1.5 Baths","4504 Holly St, Kansas City, MO 64111"
"$1,800/mo","1 Bed, 1 Bath",Condo for Rent
$750/mo,"2 Beds, 1 Bath","1211 W 27th St, Kansas City, MO 64108"
"$1,250/mo","Studio, 1 Bath",Apartment for Rent
"$1,100/mo","2 Beds, 1 Bath","5421 Kensington Ave, Kansas City, MO 64130"
"$1,500/mo","1 Bed, 1 Bath",Townhouse for Rent
"$2,199 /mo","4 Beds, 3 Baths","5019 Walnut St, Kansas City, MO 64112"
"$1,795 /mo","4 Beds, 2 Baths",Condo for Rent
"$1,995/mo","1 Bed, 1 Bath","1829 Mercier St, Kansas City, MO 64108"
"$1,295/mo","1 Bed, 1 Bath",House for Rent
"$1,400 /mo","4 Beds, 1.5 Baths","321 W 7th St, Kansas City, MO 64105"
"$1,850 - 4,375/mo","1 Bed, 1-1.5 Baths",Condo for Rent
"$1,550/mo","3 Beds, 1 Bath","4605 Harrison St, Kansas City, MO 64110"
"$1,250/mo","1 Bed, 1 Bath",Condo for Rent
"$1,500 /mo","2 Beds, 1 Bath","3320 Gillham Rd, Kansas City, MO 64109"
"$1,700/mo","2 Beds, 2 Baths",Apartment for Rent
"$1,500/mo","4 Beds, 2 Baths","514 E 44th St, Kansas City, MO 64110"
"$2,495 /mo","4 Beds, 3 Baths",Condo for Rent
"$1,795/mo","2 Beds, 2 Baths","5414 NE Meadowbrook Rd, Kansas City, MO 64119"
"$1,500 /mo","2 Beds, 1.5 Baths",House for Rent
"$1,650 /mo","4 Beds, 2 Baths","2953 McGee Trfy, Kansas City, MO 64108"
"$1,475 /mo","3 Beds, 1 Bath",Townhouse for Rent
"$4,200 /mo","3 Beds, 2.5 Baths","4704 Rockhill Rd, Kansas City, MO 64110"
"$1,650 /mo","2 Beds, 1 Bath",House for Rent
"$1,495 /mo","3 Beds, 2 Baths","6310 NW Waukomis Dr, Kansas City, MO 64151"
$925 /mo,"2 Beds, 1 Bath",House for Rent
"$2,000 /mo","3 Beds, 3 Baths","4732 Farley Ave, Kansas City, MO 64129"
"$1,100 /mo","3 Beds, 1 Bath",House for Rent
"$1,400 /mo","3 Beds, 2 Baths","3836 Mersington Ave, Kansas City, MO 64128"
"$1,375 /mo","3 Beds, 2 Baths",House for Rent
"$1,050 /mo","2 Beds, 1 Bath","307 Bellefontaine Ave, Kansas City, MO 64124"
$995 /mo,"2 Beds, 1 Bath",House for Rent
"$1,450 /mo","3 Beds, 1 Bath","2800 E 77th Terrace, Kansas City, MO 64132"
"$1,895 /mo","4 Beds, 2 Baths",House for Rent
"$1,050 /mo","2 Beds, 1 Bath","8303 Lydia Ave, Kansas City, MO 64131"
"$2,100 /mo","4 Beds, 3 Baths",House for Rent
"$1,300 /mo","2 Beds, 1 Bath","6042 The Paseo, Kansas City, MO 64110"
"$1,350 /mo","3 Beds, 1 Bath",House for Rent
"$2,850 /mo","3 Beds, 2.5 Baths","5025 N Bellaire Ave, Kansas City, MO 64119"
"$1,250 /mo","3 Beds, 1 Bath",House for Rent
"$1,050 /mo","2 Beds, 1 Bath","4110 E 58th St, Kansas City, MO 64130"
"$1,600 /mo","2 Beds, 1 Bath",House for Rent
"$4,500 /mo","5 Beds, 3.5 Baths","6905 E 112th St, Kansas City, MO 64134"
"$1,145 /mo","3 Beds, 1 Bath",House for Rent
"$1,540/mo","2 Beds, 2.5 Baths","1217 W 47th St, Kansas City, MO 64112"
"$1,795 /mo","5 Beds, 3 Baths",House for Rent
"$1,325 /mo","4 Beds, 1 Bath","3311 E 52nd St, Kansas City, MO 64130"
"$1,890/mo","2 Beds, 2.25 Baths",House for Rent
"$1,900 /mo","5 Beds, 1.5 Baths","10013 N Harrison Dr, Kansas City, MO 64155"
"$1,000 /mo","2 Beds, 1 Bath",House for Rent
"$1,250 /mo","3 Beds, 1.5 Baths","4520 Holly St, Kansas City, MO 64111"
"$1,800 /mo","2 Beds, 1 Bath",House for Rent
"$1,200/mo","Studio, 1 Bath","7508 E 50th St, Kansas City, MO 64129"
"$1,395/mo","3 Beds, 1 Bath",House for Rent
"$1,045 /mo","1 Bed, 1 Bath","204 W 68th Terrace, Kansas City, MO 64113"
"$1,995/mo","3 Beds, 2 Baths",House for Rent
"$1,389/mo","1 Bed, 1 Bath","8704 Manchester, Kansas City, MO 64138"
"$1,422/mo","2 Beds, 1 Bath",House for Rent
"$1,050 /mo","3 Beds, 1 Bath","4332 Bales Ave, Kansas City, MO 64130"
"$1,300 /mo","3 Beds, 1 Bath",House for Rent
