price,rooms,address
"$2,300 /mo","4 Beds, 2.5 Baths","2340 Rolling Oak Dr, Indianapolis, IN 46214"
$950 /mo,"2 Beds, 1.5 Baths",House for Rent
"$2,510 /mo","3 Beds, 2.5 Baths","3621 Salem St, Indianapolis, IN 46208"
"$1,585 /mo","4 Beds, 1 Bath",House for Rent
"$1,655 /mo","3 Beds, 2.5 Baths","4225 N College Ave, Indianapolis, IN 46205"
"$1,465 /mo","2 Beds, 1 Bath",House for Rent
"$2,145 /mo","4 Beds, 2.5 Baths","2946 Greenview Way, Indianapolis, IN 46229"
"$1,655 /mo","4 Beds, 2 Baths",House for Rent
"$1,650 /mo","3 Beds, 2 Baths","2512 Calabash Dr, Indianapolis, IN 46217"
"$1,595 /mo","3 Beds, 1 Bath",House for Rent
"$1,295 /mo","3 Beds, 1 Bath","5124 Rocky Forge Dr, Indianapolis, IN 46221"
"$2,395 /mo","3 Beds, 2 Baths",House for Rent
"$1,989 /mo","4 Beds, 3 Baths","222 Richie Ave, Indianapolis, IN 46234"
"$1,689 /mo","3 Beds, 2 Baths",House for Rent
"$1,715 /mo","3 Beds, 2 Baths","6001 Liverpool Ln, Indianapolis, IN 46236"
"$1,525 /mo","3 Beds, 2 Baths",House for Rent
"$2,070 /mo","4 Beds, 2.5 Baths","7654 Geist Estates Cir, Indianapolis, IN 46236"
"$1,250 /mo","3 Beds, 1 Bath",House for Rent
$900/mo,"1 Bed, 1 Bath","6522 McCreery Ct, Indianapolis, IN 46221"
"$1,745/mo","Studio, 1 Bath",House for Rent
"$1,820 /mo","3 Beds, 2.5 Baths","330 N Randolph St, Indianapolis, IN 46201"
$750/mo,"1 Bed, 1 Bath",House for Rent
"$1,619 /mo","3 Beds, 2 Baths","8538 Bluff Point Dr, Indianapolis, IN 46113"
"$1,295 /mo","3 Beds, 1 Bath",House for Rent
$800 /mo,"1 Bed, 1 Bath","3645 N Sadlier Dr, Indianapolis, IN 46226"
"$1,895 /mo","3 Beds, 2.5 Baths",House for Rent
"$1,400 /mo","3 Beds, 1 Bath","628 N Oxford St, Indianapolis, IN 46201"
"$1,935 /mo","3 Beds, 2 Baths",House for Rent
"$1,719 /mo","3 Beds, 3 Baths","4620 Plowman Dr, Indianapolis, IN 46237"
"$2,270 /mo","4 Beds, 2.5 Baths",House for Rent
"$1,700 /mo","3 Beds, 2 Baths","2028 Lexington Ave, Indianapolis, IN 46203"
"$1,795 /mo","4 Beds, 2 Baths",House for Rent
"$1,350 /mo","2 Beds, 1 Bath","6432 Perry Pines Ct, Indianapolis, IN 46237"
"$1,300/mo","2 Beds, 1 Bath",House for Rent
"$1,655 /mo","3 Beds, 2.5 Baths","3222 Black Forest Ln, Indianapolis, IN 46239"
"$1,430 /mo","3 Beds, 1 Bath",House for Rent
"$1,490 /mo","3 Beds, 1.5 Baths","1927 Glendora Dr, Indianapolis, IN 46214"
"$1,465 /mo","3 Beds, 1 Bath",House for Rent
"$1,200 /mo","2 Beds, 1 Bath","445 Bridgestone Dr, Indianapolis, IN 46231"
"$1,350 /mo","3 Beds, 1 Bath",House for Rent
"$1,700/mo","1 Bed, 1 Bath","2204 Valley Creek W Ln, Indianapolis, IN 46229"
"$1,645 /mo","3 Beds, 2.5 Baths",House for Rent
