price,rooms,address
"$2,400 /mo","3 Beds, 1.5 Baths","5126-5136 S Wheeling Ave, Tulsa, OK 74105"
"$1,695 /mo","1 Bed, 1 Bath","5126-5136 S Wheeling Ave, Tulsa, OK 74105"
"$2,495 /mo","3 Beds, 2 Baths","24 E 17th St, Tulsa, OK 74119"
"$2,695 /mo","4 Beds, 2 Baths","24 E 17th St, Tulsa, OK 74119"
"$2,395 /mo","3 Beds, 1 Bath","119 E 6th St, Tulsa, OK 74119"
"$1,795 /mo","1 Bed, 1 Bath","119 E 6th St, Tulsa, OK 74119"
"$2,295 /mo","2 Beds, 1 Bath","1722 S Carson Ave, Tulsa, OK 74119"
"$2,895 /mo","3 Beds, 1 Bath","1722 S Carson Ave, Tulsa, OK 74119"
"$1,650 /mo","3 Beds, 1 Bath","2616 S Sheridan Rd, Tulsa, OK 74129"
"$1,200/mo","2 Beds, 1 Bath","2616 S Sheridan Rd, Tulsa, OK 74129"
"$1,200/mo","1 Bed, 1 Bath","6621 E 19th St, Tulsa, OK 74112"
"$1,980/mo","1 Bed, 1 Bath","6621 E 19th St, Tulsa, OK 74112"
"$1,195/mo","Studio, 1 Bath","4747 S Darlington Ave, Tulsa, OK 74135"
"$1,400 /mo","3 Beds, 2 Baths","4747 S Darlington Ave, Tulsa, OK 74135"
"$2,000 /mo","3 Beds, 1 Bath","1638 S Carson Ave, Tulsa, OK 74119"
"$1,195 /mo","4 Beds, 1 Bath","1638 S Carson Ave, Tulsa, OK 74119"
"$3,000 /mo","5 Beds, 3 Baths","7625 E 21st St, Tulsa, OK 74129"
"$1,300 /mo","3 Beds, 2 Baths","8013 E 2nd St S, Tulsa, OK 74112"
"$1,995 /mo","4 Beds, 3 Baths",House for Rent
"$2,693 /mo","3 Beds, 2 Baths","821 S Quaker Ave, Tulsa, OK 74120"
"$2,795 /mo","4 Beds, 2 Baths",House for Rent
"$1,550 /mo","3 Beds, 2 Baths","4809 S 85th E Ave, Tulsa, OK 74145"
"$2,650 /mo","4 Beds, 3 Baths",House for Rent
"$2,250 /mo","3 Beds, 2 Baths","4016 E 51st Pl, Tulsa, OK 74135"
"$2,350/mo","3 Beds, 2 Baths",House for Rent
"$2,000 /mo","3 Beds, 2 Baths","5742 S Urbana Ave, Tulsa, OK 74135"
"$2,295 /mo","3 Beds, 2 Baths",House for Rent
"$3,200 /mo","4 Beds, 3 Baths","1831 E 17th Pl, Tulsa, OK 74104"
"$2,000 /mo","3 Beds, 2.5 Baths",House for Rent
"$1,650 /mo","4 Beds, 2 Baths","4419 S Sandusky Ave, Tulsa, OK 74135"
"$1,295 /mo","3 Beds, 2 Baths",House for Rent
