price,rooms,address
"$2,200 /mo","3 Beds, 2 Baths","2206 Mediterranean Ave, Arlington, TX 76011"
"$2,235 /mo","3 Beds, 2 Baths",House for Rent
"$2,395 /mo","4 Beds, 3 Baths","2513 Mardell Dr, Arlington, TX 76016"
"$2,925 /mo","4 Beds, 2 Baths",House for Rent
"$2,395/mo","2 Beds, 2 Baths","802 Lazy Bayou Dr, Arlington, TX 76002"
"$2,950 /mo","4 Beds, 3.5 Baths",House for Rent
"$1,985 /mo","3 Beds, 1.5 Baths","2301 Saffron Ln, Arlington, TX 76010"
"$2,600 /mo","4 Beds, 2 Baths",House for Rent
"$2,260 /mo","4 Beds, 2 Baths","5208 Rowcrop Dr, Arlington, TX 76017"
"$2,155 /mo","3 Beds, 2 Baths",House for Rent
"$2,560 /mo","3 Beds, 2 Baths","6516 Ashwood Dr, Arlington, TX 76016"
"$2,300 /mo","3 Beds, 2 Baths",House for Rent
"$2,495 /mo","4 Beds, 2 Baths","6735 Elk Trail, Arlington, TX 76002"
$750 /mo,"1 Bed, 1 Bath",House for Rent
"$2,999 /mo","4 Beds, 3.5 Baths","818 Sandalwood Ln, Arlington, TX 76017"
"$1,015/mo","1 Bed, 1 Bath",House for Rent
"$1,099/mo","1 Bed, 1 Bath","904 Forrestal Dr, Arlington, TX 76010"
"$2,540 /mo","4 Beds, 2.5 Baths",House for Rent
"$2,090 /mo","3 Beds, 2 Baths","904 Simi Dr, Arlington, TX 76001"
"$2,335 /mo","3 Beds, 2 Baths",House for Rent
"$2,225 /mo","3 Beds, 3.5 Baths","521 Zachum Dr, Arlington, TX 76002"
"$2,210 /mo","3 Beds, 2 Baths",House for Rent
"$2,085 /mo","3 Beds, 1.5 Baths","5311 Rowcrop Dr, Arlington, TX 76017"
"$2,190 /mo","3 Beds, 2 Baths",House for Rent
"$2,100 /mo","3 Beds, 2 Baths","705 Netherland Pl, Arlington, TX 76017"
"$2,300 /mo","3 Beds, 2 Baths",House for Rent
"$2,400 /mo","3 Beds, 2 Baths","6509 Devine Dr, Arlington, TX 76001"
"$2,100 /mo","3 Beds, 2 Baths",House for Rent
"$2,435 /mo","4 Beds, 2 Baths","8415 River Bluffs Dr, Arlington, TX 76002"
"$1,485/mo","2 Beds, 1 Bath",House for Rent
"$1,200 /mo","1 Bed, 1 Bath","2203 Wamsetta Dr, Arlington, TX 76018"
"$1,195/mo","1 Bed, 1 Bath",House for Rent
"$2,299 /mo","5 Beds, 2.5 Baths","6105 Seese Dr, Arlington, TX 76018"
"$2,390 /mo","3 Beds, 2 Baths",House for Rent
"$2,175 /mo","3 Beds, 2 Baths","1312 Pierron Dr, Arlington, TX 76002"
"$3,350 /mo","5 Beds, 3.5 Baths",House for Rent
"$2,475 /mo","4 Beds, 2 Baths","2314 Bamboo Dr, Arlington, TX 76006"
"$2,945 /mo","4 Beds, 2.5 Baths",Condo for Rent
"$2,495 /mo","3 Beds, 2 Baths","7903 Clear Fork Trail, Arlington, TX 76002"
"$2,135 /mo","3 Beds, 2.5 Baths",House for Rent
"$2,535 /mo","4 Beds, 2.5 Baths","1712 Baird Farm Cir, Arlington, TX 76006"
"$2,350 /mo","2 Beds, 2 Baths",Condo for Rent
"$2,540 /mo","4 Beds, 2.5 Baths","5112 El Rancho Ct, Arlington, TX 76017"
"$2,280 /mo","3 Beds, 2 Baths",House for Rent
"$3,000 /mo","4 Beds, 2 Baths","905 High Point Rd, Arlington, TX 76015"
"$2,630 /mo","5 Beds, 2 Baths",House for Rent
"$2,230 /mo","3 Beds, 2 Baths","6317 Brookcrest Dr, Arlington, TX 76018"
"$2,345 /mo","3 Beds, 2 Baths",House for Rent
"$2,200 /mo","3 Beds, 2 Baths","2309 Green Creek Dr, Arlington, TX 76001"
"$3,720 /mo","3 Beds, 2.5 Baths",House for Rent
"$2,260 /mo","3 Beds, 2 Baths","608 Denali Dr, Arlington, TX 76002"
