price,rooms,address
"$875 - 1,200",1-2 Beds,"108 N Belvedere Blvd, Memphis, TN 38104"
"$1,169 - 2,629",1-3 Beds,"1445 River Estates Dr, Memphis, TN 38103"
"$755 - 3,020",2-4 Beds,"3565 Mynders Ave, Memphis, TN 38111"
$755 - 895,1-2 Beds,"4435 Powell Ave, Memphis, TN 38122"
"$749 - 1,099",1-3 Beds,"2831 Fosterwood Dr, Memphis, TN 38115"
$699 - 900,1-2 Beds,"1368-1438 E Winchester Rd, Memphis, TN 38116"
$699 - 900,1-2 Beds,"3108 New Allen Rd, Memphis, TN 38128"
"$394 - 1,534",1-4 Beds,"2998 Tillman Cv, Memphis, TN 38112"
"$1,325 - 3,579",Studio - 3 Beds,"67 Madison Ave, Memphis, TN 38103"
"$1,190 - 1,692",1-2 Beds,"100 Gayoso Ave, Memphis, TN 38103"
"$975 - 1,550",Studio - 1 Bed,"110 Barboro Aly, Memphis, TN 38103"
"$922 - 1,251",1-2 Beds,"3169 Kirby Pky, Memphis, TN 38115"
"$1,803 - 2,989",Studio - 3 Beds,"1350 Concourse Ave, Memphis, TN 38104"
$950,1 Bed,"461 S Highland St, Memphis, TN 38111"
"$1,185 - 1,936",1-3 Beds,"6625 Monticello Ln, Memphis, TN 38115"
"$1,292 - 2,684",1-3 Beds,"1298 Mount Hope Dr, Memphis, TN 38103"
"$1,045 - 1,974",1-2 Beds,"10 S Main St, Memphis, TN 38103"
"$1,095 - 1,125",2 Beds,"1655 Madison Ave, Memphis, TN 38104"
"$1,050 - 1,175",1-2 Beds,"300 N Highland St, Memphis, TN 38111"
"$1,074 - 1,477",1-3 Beds,"6939 Dusty Trail Ln, Memphis, TN 38133"
"$927 - 1,283",Studio - 1 Bed,"1391 Court Ave, Memphis, TN 38104"
"$1,200 - 2,368",1-3 Beds,"1440 Island Park Dr, Memphis, TN 38103"
"$619 - 1,140",Studio - 4 Beds,"3601 Midland Ave, Memphis, TN 38111"
$855 - 920,1-2 Beds,"1594 E Holmes Rd, Memphis, TN 38116"
$599 - 845,Studio - 2 Beds,"3314 S Woodlake Cir, Memphis, TN 38118"
"$1,295",2 Beds,"1796-1800 Poplar Ave, Memphis, TN 38104"
$699 - 800,2 Beds,"2281 Ketchum Rd, Memphis, TN 38114"
"$825 - 1,050",2-3 Beds,"3920 Hickory Hill Rd, Memphis, TN 38115"
$825 - 950,2 Beds,"2880 Beverly Hills Rd, Memphis, TN 38128"
"$680 - 1,005",1-3 Beds,"6015 Summer Trace, Memphis, TN 38134"
Call for Rent,1-3 Beds,"4733 Heather Row, Memphis, TN 38141"
$725 - 825,1-2 Beds,"5001-5045 Airways Blvd, Memphis, TN 38116"
Call for Rent,1-3 Beds,"374 Mill Ave, Memphis, TN 38107"
$689 - 969,2 Beds,"1726 S Orleans St, Memphis, TN 38106"
"$775 - 1,255",1-3 Beds,"3295 Riverdale Rd, Memphis, TN 38119"
"$799 - 1,150",1-3 Beds,"1970 Sycamore View Rd, Memphis, TN 38134"
$730 - 995,1-3 Beds,"4123 Aux Arms Dr, Memphis, TN 38128"
"$680 - 1,150",1-3 Beds,"4168 The Place St, Memphis, TN 38128"
"$2,215 /mo","4 Beds, 2.5 Baths","5587 Berryman Dr, Memphis, TN 38125"
