price,rooms,address
"$2,000 /mo","4 Beds, 2.5 Baths","215 N Park Ave, Tucson, AZ 85719"
"$2,065 /mo","3 Beds, 2.5 Baths","123 W Delano St, Tucson, AZ 85705"
"$1,945 /mo","3 Beds, 2 Baths","123 W Delano St, Tucson, AZ 85705"
"$1,850 /mo","3 Beds, 2 Baths","1060 N Swan Rd, Tucson, AZ 85711"
"$2,095 /mo","4 Beds, 2.5 Baths","1060 N Swan Rd, Tucson, AZ 85711"
"$1,815 /mo","3 Beds, 2 Baths","6110 E 5th St, Tucson, AZ 85711"
"$1,665 /mo","3 Beds, 2 Baths","6110 E 5th St, Tucson, AZ 85711"
"$2,070 /mo","3 Beds, 2.5 Baths","55 N Park Ave, Tucson, AZ 85719"
"$2,025 /mo","4 Beds, 2 Baths","55 N Park Ave, Tucson, AZ 85719"
"$2,420 /mo","4 Beds, 3 Baths","8490 E Old Spanish Trl, Tucson, AZ 85710"
"$2,465 /mo","5 Beds, 3 Baths","8490 E Old Spanish Trl, Tucson, AZ 85710"
"$1,805 /mo","3 Beds, 2 Baths","9164 E Sugar Sumac St, Tucson, AZ 85747"
"$1,730/mo","1 Bed, 1 Bath",House for Rent
"$1,895 /mo","3 Beds, 2 Baths","11 E Orange Grove Rd, Tucson, AZ 85704"
"$1,960 /mo","3 Beds, 2 Baths",Apartment for Rent
"$2,135 /mo","4 Beds, 2 Baths","3395 Evening Star Ct, Tucson, AZ 85741"
"$2,785 /mo","5 Beds, 4 Baths",House for Rent
"$1,830 /mo","3 Beds, 2 Baths","9860 E Paseo San Rosendo, Tucson, AZ 85747"
"$2,119/mo","1 Bed, 1 Bath",House for Rent
"$2,145/mo","Studio, 1 Bath","6022 S Birchwood Dr, Tucson, AZ 85746"
"$1,900/mo","2 Beds, 2 Baths",House for Rent
"$1,700/mo","1 Bed, 1 Bath","8416 N Sand Flower Rd, Tucson, AZ 85743"
"$1,995 /mo","4 Beds, 2 Baths",House for Rent
"$2,280 /mo","4 Beds, 2 Baths","10159 E Desert Crossings Way, Tucson, AZ 85747"
"$2,195 /mo","3 Beds, 2.5 Baths",House for Rent
"$1,870 /mo","3 Beds, 2.5 Baths","4050 W Aerie Dr, Tucson, AZ 85741"
"$1,830 /mo","3 Beds, 2 Baths",Apartment for Rent
"$1,695 /mo","3 Beds, 2 Baths","127 S 5th Ave, Tucson, AZ 85701"
"$2,305 /mo","3 Beds, 2.5 Baths",Apartment for Rent
"$1,275/mo","2 Beds, 1 Bath","625 S Prudence Rd, Tucson, AZ 85710"
"$2,195/mo","3 Beds, 2 Baths",Condo for Rent
"$1,800 /mo","2 Beds, 1 Bath","2019 N Bell Ave, Tucson, AZ 85712"
$900/mo,"1 Bed, 1 Bath",Townhome for Rent
"$1,400/mo","2 Beds, 1 Bath","8452 E Rosewood St, Tucson, AZ 85710"
"$2,175 /mo","3 Beds, 2.5 Baths",House for Rent
"$2,275 /mo","4 Beds, 2.5 Baths","6492 W Harbin Ridge Way, Tucson, AZ 85757"
$890/mo,"1 Bed, 1 Bath",House for Rent
"$2,075 /mo","4 Beds, 2 Baths","6828 E Via Rancho Rosario, Tucson, AZ 85756"
"$2,450 /mo","4 Beds, 2.5 Baths",House for Rent
"$2,275 /mo","4 Beds, 2.5 Baths","7332 S MESSALA Ct, Tucson, AZ 85746"
"$2,245 /mo","3 Beds, 3 Baths",House for Rent
"$2,030 /mo","3 Beds, 2 Baths","7442 W Calle Colado, Tucson, AZ 85757"
"$2,175 /mo","4 Beds, 2.5 Baths",House for Rent
"$2,000 /mo","3 Beds, 2 Baths","120 W King Rd, Tucson, AZ 85705"
"$2,080 /mo","4 Beds, 2.5 Baths",House for Rent
"$1,980 /mo","4 Beds, 2 Baths","6968 S Martlet Dr, Tucson, AZ 85756"
"$2,167/mo","2 Beds, 2 Baths",House for Rent
"$1,960 /mo","3 Beds, 2 Baths","6632 Calle La Paz, Tucson, AZ 85715"
"$1,945 /mo","3 Beds, 2.5 Baths",Townhome for Rent
"$1,720 /mo","3 Beds, 2 Baths","5589 N Mica Mountain Dr, Tucson, AZ 85750"
"$1,635 /mo","3 Beds, 2 Baths",Townhome for Rent
"$1,605 /mo","3 Beds, 2 Baths","3303 N Los Altos Ave, Tucson, AZ 85705"
"$1,745 /mo","3 Beds, 2 Baths",House for Rent
"$1,795 /mo","3 Beds, 1.5 Baths","7428 E Vancouver Dr, Tucson, AZ 85730"
"$1,790 /mo","3 Beds, 2 Baths",House for Rent
"$1,570 /mo","4 Beds, 1.75 Baths","6816 E Nelson Dr, Tucson, AZ 85730"
"$1,540 /mo","2 Beds, 1.5 Baths",House for Rent
"$2,295 /mo","4 Beds, 2.5 Baths","5528 E Waverly St, Tucson, AZ 85712"
"$1,970 /mo","4 Beds, 2 Baths",House for Rent
"$2,035 /mo","3 Beds, 2 Baths","6711 E 45th St, Tucson, AZ 85730"
"$1,755 /mo","3 Beds, 2 Baths",House for Rent
"$1,925 /mo","3 Beds, 2 Baths","5209 E 26th St, Tucson, AZ 85711"
"$1,940 /mo","4 Beds, 2 Baths",House for Rent
"$2,145 /mo","3 Beds, 2 Baths","7519 S Placita De Pina, Tucson, AZ 85747"
"$1,770 /mo","3 Beds, 2 Baths",House for Rent
"$2,440 /mo","4 Beds, 3 Baths","6769 S Camino Del Anhelo, Tucson, AZ 85756"
"$2,400 /mo","4 Beds, 2 Baths",House for Rent
"$3,100 /mo","3 Beds, 2 Baths","4880 S Wild Rose Dr, Tucson, AZ 85730"
"$2,295 /mo","4 Beds, 3 Baths",House for Rent
"$2,445 /mo","5 Beds, 3 Baths","9589 E Vendela St, Tucson, AZ 85748"
"$2,390 /mo","4 Beds, 2 Baths",House for Rent
"$2,230 /mo","3 Beds, 2.5 Baths","1773 W Calle La Paz, Tucson, AZ 85713"
"$1,920 /mo","4 Beds, 2 Baths",House for Rent
"$2,295 /mo","4 Beds, 2.5 Baths","10581 E Feltleaf Willow Trl, Tucson, AZ 85747"
"$2,095 /mo","3 Beds, 2 Baths",House for Rent
"$2,360 /mo","3 Beds, 2 Baths","1578 E Melridge St, Tucson, AZ 85706"
"$2,295 /mo","3 Beds, 2 Baths",House for Rent
"$2,125 /mo","4 Beds, 2 Baths","3525 E 25th St, Tucson, AZ 85713"
"$1,720 /mo","3 Beds, 2 Baths",House for Rent
"$1,545 /mo","3 Beds, 2 Baths","7741 E Calle Bien Nacida, Tucson, AZ 85750"
"$2,515 /mo","4 Beds, 3 Baths",House for Rent
"$1,895 /mo","2 Beds, 2 Baths","9929 E Colette St, Tucson, AZ 85748"
"$2,180 /mo","3 Beds, 2 Baths",House for Rent
"$1,800 /mo","3 Beds, 2 Baths","830 N 2nd Ave, Tucson, AZ 85705"
"$1,945 /mo","3 Beds, 2 Baths",House for Rent
"$2,510 /mo","4 Beds, 2.5 Baths","10041 E Paseo San Ardo, Tucson, AZ 85747"
"$1,945 /mo","3 Beds, 2.5 Baths",House for Rent
"$1,925 /mo","4 Beds, 2 Baths","8285 W Kittiwake Ln, Tucson, AZ 85757"
"$1,300/mo","2 Beds, 2 Baths",House for Rent
"$2,175 /mo","3 Beds, 2.5 Baths","545 N Banff Ave, Tucson, AZ 85748"
"$1,000 /mo","1 Bed, 1 Bath",House for Rent
"$2,190 /mo","5 Beds, 2 Baths","3209 S Serena Cir, Tucson, AZ 85730"
"$1,580 /mo","3 Beds, 2 Baths",House for Rent
"$1,975 /mo","4 Beds, 2 Baths","854 W Calle Matus, Tucson, AZ 85705"
"$2,400 /mo","4 Beds, 2 Baths",House for Rent
"$2,320 /mo","4 Beds, 2 Baths","3070 N Desert Stone Pl, Tucson, AZ 85716"
"$1,960 /mo","3 Beds, 2 Baths",House for Rent
"$2,330 /mo","4 Beds, 2 Baths","4158 E Flower St, Tucson, AZ 85712"
"$2,015 /mo","3 Beds, 2 Baths",House for Rent
"$1,800 /mo","3 Beds, 2 Baths","3771 W Raintree Dr, Tucson, AZ 85741"
"$2,175 /mo","4 Beds, 2 Baths",House for Rent
"$2,230 /mo","4 Beds, 3 Baths","5140 N River Fringe Dr, Tucson, AZ 85704"
"$1,950 /mo","4 Beds, 2 Baths",House for Rent
"$2,135 /mo","3 Beds, 2.5 Baths","10588 E Oakbrook St, Tucson, AZ 85747"
"$2,015 /mo","4 Beds, 2 Baths",House for Rent
"$2,200 /mo","3 Beds, 2 Baths","11151 N Desert Flower Dr, Tucson, AZ 85737"
"$2,295 /mo","4 Beds, 2 Baths",House for Rent
"$2,015 /mo","3 Beds, 2.5 Baths","1320 N Sahuara Ave, Tucson, AZ 85712"
"$1,955 /mo","3 Beds, 2 Baths",House for Rent
"$2,505 /mo","3 Beds, 3 Baths","4106 E Lushfield Dr, Tucson, AZ 85756"
"$1,785 /mo","3 Beds, 2 Baths",House for Rent
"$2,045 /mo","3 Beds, 2.5 Baths","6365 E Calle del Patagon, Tucson, AZ 85756"
"$1,825 /mo","4 Beds, 2 Baths",House for Rent
"$1,198/mo","2 Beds, 2 Baths","4432 S Paseo Rio Bravo, Tucson, AZ 85714"
"$1,580 /mo","3 Beds, 1 Bath",House for Rent
"$2,460 /mo","3 Beds, 2 Baths","3710 W Spinnaker Ln, Tucson, AZ 85742"
"$2,350 /mo","4 Beds, 2 Baths",House for Rent
"$2,370 /mo","4 Beds, 3 Baths","4450 W Meggan Pl, Tucson, AZ 85741"
"$1,425 /mo","2 Beds, 2 Baths",House for Rent
"$1,865 /mo","3 Beds, 2 Baths","716 W Mountain Ridge Dr, Tucson, AZ 85737"
"$1,610 /mo","3 Beds, 2 Baths",House for Rent
"$2,104/mo","1 Bed, 1 Bath","7640 W Summer Sky Dr, Tucson, AZ 85743"
"$2,050 /mo","3 Beds, 2 Baths",House for Rent
"$1,495/mo","3 Beds, 1 Bath","9556 N Albatross Dr, Tucson, AZ 85742"
"$2,450 /mo","4 Beds, 2.5 Baths",House for Rent
"$2,110 /mo","4 Beds, 2.5 Baths","7826 N Sun Flair Dr, Tucson, AZ 85741"
"$1,970 /mo","4 Beds, 2.1 Baths",House for Rent
"$1,945 /mo","3 Beds, 2 Baths","8835 N Hardy Preserve Loop, Tucson, AZ 85742"
"$1,965 /mo","3 Beds, 2.5 Baths",House for Rent
"$1,985 /mo","4 Beds, 2 Baths","3430 Avenida Bonita, Tucson, AZ 85746"
"$1,850 /mo","3 Beds, 2.5 Baths",House for Rent
"$2,450 /mo","5 Beds, 3 Baths","6542 E Paseo Baranda, Tucson, AZ 85756"
"$1,800 /mo","3 Beds, 2 Baths",House for Rent
"$2,105 /mo","3 Beds, 2 Baths","3202 E Greenlee Rd, Tucson, AZ 85716"
"$2,275 /mo","4 Beds, 2.5 Baths",House for Rent
$899/mo,"1 Bed, 1 Bath","8551 N Rolling River Dr, Tucson, AZ 85743"
"$2,175 /mo","3 Beds, 2.5 Baths",House for Rent
"$2,305/mo","2 Beds, 2 Baths","7515 S Placita De Pina, Tucson, AZ 85747"
"$2,175 /mo","3 Beds, 2.5 Baths",House for Rent
"$2,452/mo","2 Beds, 2 Baths","2022 S 7th Ave, Tucson, AZ 85713"
"$2,175 /mo","3 Beds, 2.5 Baths",Apartment for Rent
"$2,350 /mo","4 Beds, 2.5 Baths","6143 Calle Bilboa, Tucson, AZ 85742"
"$2,142/mo","1 Bed, 1 Bath",House for Rent
"$2,450 /mo","4 Beds, 2.5 Baths","41 S Shannon Rd, Tucson, AZ 85745"
"$2,350 /mo","4 Beds, 2.5 Baths",Apartment for Rent
"$2,450 /mo","4 Beds, 2.5 Baths","6124 W Paseo Hilario, Tucson, AZ 85742"
"$2,350 /mo","4 Beds, 2.5 Baths",House for Rent
"$2,175 /mo","3 Beds, 2.5 Baths","10950 N La Ca&#241;ada Dr, Tucson, AZ 85737"
"$2,350 /mo","4 Beds, 2.5 Baths",Apartment for Rent
"$2,170 /mo","3 Beds, 2 Baths","6151 Calle Bilboa, Tucson, AZ 85742"
"$2,485 /mo","4 Beds, 2.5 Baths",House for Rent
"$2,595 /mo","5 Beds, 2.5 Baths","7499 S Via Bombachas, Tucson, AZ 85756"
"$1,955 /mo","3 Beds, 2 Baths",House for Rent
