price,rooms,baths,square_feet,address
"$3,900,000",6 beds,6 beds,"2,400","6464 N Van Ness Blvd, Fresno, CA 93711"
"$115,000",2 beds,2 beds,"1,377","2706 W Ashlan Ave #77, Fresno, CA 93705"
"$469,000",3 beds,3 beds,0.25,"9160 N Woodlawn Dr, Fresno, CA 93720"
"$341,500",3 beds,3 beds,"5,424","3923 Maywood Dr S, Fresno, CA 93703"
"$997,900",4 beds,4 beds,2.50,"6638 S Cherry Ave, Fresno, CA 93725"
"$155,000",2 beds,2 beds,"2,360","4020 E Dakota Ave #103, Fresno, CA 93726"
"$464,999",3 beds,3 beds,"8,746","4113 N Contessa Ave, Fresno, CA 93723"
"$1,500,000",0 beds,0 beds,"8,436","0 Carmen Ave, Fresno, CA 93737"
"$319,000",3 beds,3 beds,1.05,"2324 W Cortland Ave, Fresno, CA 93705"
"$745,000",4 beds,4 beds,"1,440","8441 N Bond St, Fresno, CA 93720"
"$1,249,950",5 beds,5 beds,1,"1668 E Banwell Ln, Fresno, CA 93730"
"$269,900",3 beds,3 beds,"1,523","5078 E Olive Ave, Fresno, CA 93727"
"$619,999",5 beds,5 beds,"4,462","4717 W Calimyrna Ave, Fresno, CA 93722"
"$429,950",3 beds,3 beds,"1,270","554 E Sample Ave, Fresno, CA 93710"
"$509,995",2 beds,2 beds,"7,200","2107 E Makenna Dr, Fresno, CA 93730"
"$435,900",4 beds,4 beds,"2,822","5522 W Willis Ave, Fresno, CA 93722"
"$481,617",4 beds,4 beds,6.57,"6624 E Grant Ave, Fresno, CA 93727"
"$466,460",3 beds,3 beds,744,"5386 N Lodi Ave, Fresno, CA 93722"
"$305,000",3 beds,3 beds,"2,044","1867 W Fairmont Ave, Fresno, CA 93705"
"$315,000",3 beds,3 beds,"4,290","3645 E Hedges Ave, Fresno, CA 93703"
"$395,000",2 beds,2 beds,—,"5576 N El Adobe Dr, Fresno, CA 93711"
"$94,900",3 beds,3 beds,"1,100","336 E Alluvial #283, Fresno, CA 93720"
"$669,900",3 beds,3 beds,"5,998","4741 N Arcade Ave, Fresno, CA 93704"
"$415,000",3 beds,3 beds,"3,274","9213 N Dayspring Way, Fresno, CA 93720"
"$225,000",3 beds,3 beds,"9,990","2625 E Clay Ave, Fresno, CA 93701"
"$229,999",2 beds,2 beds,"4,191","7675 N First St #202, Fresno, CA 93720"
"$385,000",3 beds,3 beds,0.29,"2390 E Fir Ave, Fresno, CA 93720"
"$119,900",2 beds,2 beds,"1,016","221 W Herndon Ave #209, Pinedale, CA 93650"
"$485,000",3 beds,3 beds,0.25,"2964 W Brompton Ln, Fresno, CA 93711"
"$399,900",4 beds,4 beds,"2,815","3202 E Brown Ave, Fresno, CA 93703"
"$340,000",4 beds,4 beds,"7,736","937 N Villa Ave, Fresno, CA 93727"
"$950,000",4 beds,4 beds,"1,818","1698 E Gatwick Ln, Fresno, CA 93730"
"$330,000",3 beds,3 beds,"7,680","171 N Van Ness Ave, Fresno, CA 93701"
"$295,000",4 beds,4 beds,"2,148","921 N Hulbert Ave, Fresno, CA 93728"
"$280,000",3 beds,3 beds,"7,618","2555 S Holly Ave, Fresno, CA 93706"
"$325,000",4 beds,4 beds,816,"4916 N Effie St, Fresno, CA 93726"
