price,rooms,baths,square_feet,address
"$360,000",3 beds,3 beds,2.45,"5804 NE Buttonwood Tree Ln, Gladstone, MO 64119"
"$155,000",3 beds,3 beds,"2,690","3344 Askew Ave, Kansas City, MO 64128"
"$515,000",4 beds,4 beds,0.45,"4202 Bell St, Kansas City, MO 64111"
"$400,000",4 beds,4 beds,"2,450","8123 NW Tipton Ave, Kansas City, MO 64152"
"$549,000",3 beds,3 beds,912,"708 W 77th, Kansas City, MO 64114"
"$199,000",3 beds,3 beds,"7,840","7842 Smalley Ave, Kansas City, MO 64138"
"$299,000",3 beds,3 beds,"1,300","410 Benton Blvd, Kansas City, MO 64124"
"$502,900",4 beds,4 beds,"7,916","7812 NE 107th St, Kansas City, MO 64157"
"$119,900",4 beds,4 beds,"1,300","11579 Food Ln, Kansas City, MO 64134"
"$1,950,000",4 beds,4 beds,"7,916","8516 N Booth Ave, Kansas City, MO 64157"
"$230,000",10 beds,10 beds,"7,638","915 Benton Blvd, Kansas City, MO 64127"
"$930,000",18 beds,18 beds,"6,517","5218 Ditzler Ave, Raytown, MO 64133"
"$110,000",3 beds,3 beds,"3,530","8919 N Walnut St, County/other, MO 64155"
"$629,000",6 beds,6 beds,0.31,"305 Bellefontaine Ave, Kansas City, MO 64124"
"$995,000",2 beds,2 beds,—,"1414 W 47th St, Kansas City, MO 64112"
"$715,000",5 beds,5 beds,0.25,"14605 NW 66th St, Parkville, MO 64152"
"$131,000",1 bed,1 bed,"1,473","600 E 8th St Unit 12N, Kansas City, MO 64106"
"$410,000",3 beds,3 beds,"2,321","1610 NE 123rd St, Kansas City, MO 64165"
"$369,000",7 beds,7 beds,"8,276","3233 Campbell St, Kansas City, MO 64109"
"$79,000",3 beds,3 beds,—,"4036 Benton Blvd, Kansas City, MO 64130"
"$135,000",3 beds,3 beds,"5,265","3621 Thompson Ave, Kansas City, MO 64124"
"$454,950",4 beds,4 beds,"3,060","9224 N Poplar Ave, Kansas City, MO 64156"
"$119,000",3 beds,3 beds,"4,707","2610 Myrtle Ave, Kansas City, MO 64127"
"$225,000",3 beds,3 beds,"1,696","5535 Brooklyn Ave, Kansas City, MO 64130"
"$197,000",4 beds,4 beds,"2,997","3214 Bellefontaine Ave, Kansas City, MO 64128"
"$795,000",5 beds,5 beds,"2,541","3701 Madison Ave, Kansas City, MO 64111"
"$475,000",4 beds,4 beds,"9,825","10941 N Crystal Ave, Kansas City, MO 64156"
