price,rooms,baths,square_feet,address
"$375,000",3 beds,3 beds,"1,451","2919 Gillespie St, Houston, TX 77020"
"$210,000",4 beds,4 beds,"6,672","10029 Lasaber Ct, Houston, TX 77038"
"$390,000",3 beds,3 beds,"1,932","4222 Nichols St, Houston, TX 77020"
"$390,000",3 beds,3 beds,"6,355","4220 Nichols St, Houston, TX 77020"
"$76,000",2 beds,2 beds,"3,809","201 W Rosamond St #9, Houston, TX 77076"
"$265,000",1 bed,1 bed,"9,148","2120 Kipling St #402, Houston, TX 77098"
"$489,900",3 beds,3 beds,"1,302","5227 Cornish St, Houston, TX 77007"
"$734,900",4 beds,4 beds,"1,622","705 Patterson St, Houston, TX 77007"
"$430,000",0 beds,0 beds,"4,783","8003 Knox St, Houston, TX 77088"
"$300,000",4 beds,4 beds,"1,690","10410 Stover St, Houston, TX 77075"
"$835,000",5 beds,5 beds,"5,000","1214 Almond Grove Dr, Houston, TX 77077"
"$1,900,000",— beds,— beds,"4,550","4301 Liberty Rd, Houston, TX 77026"
"$1,200,000",— beds,— beds,"3,677","1229 Neiman Ln, Houston, TX 77091"
"$95,000",— beds,— beds,"1,365","2614 Mcdaniel St, Houston, TX 77093"
"$485,000",— beds,— beds,"1,536","812 Thornton Rd, Houston, TX 77018"
"$150,000",— beds,— beds,"2,800","1003 E 39th St, Houston, TX 77022"
"$150,000",— beds,— beds,"1,431","920 E 40th St, Houston, TX 77022"
"$450,000",— beds,— beds,"3,438","2324 Keene St, Houston, TX 77009"
"$150,000",— beds,— beds,"2,209","0 E 35th St, Houston, TX 77022"
"$150,000",— beds,— beds,"2,835","1229 E 33rd St, Houston, TX 77022"
"$150,000",— beds,— beds,"2,209","1318 E 34th St, Houston, TX 77022"
"$85,000",— beds,— beds,"2,907","6530 Tuskegee St, Houston, TX 77091"
"$65,000",— beds,— beds,"3,000","6719 Knox St, Houston, TX 77091"
"$87,500",— beds,— beds,"6,125","8112 Carver Rd, Houston, TX 77088"
"$85,000",— beds,— beds,"3,000","6528 Tuskegee St, Houston, TX 77091"
"$87,500",— beds,— beds,"6,125","8110 Carver Rd, Houston, TX 77088"
"$139,900",— beds,— beds,"6,000","6801 Apollo St, Houston, TX 77091"
"$109,900",— beds,— beds,"5,700","4535 Fallen Oaks Dr, Houston, TX 77091"
"$99,900",— beds,— beds,"4,200","2813 Brackenridge St, Houston, TX 77026"
"$365,000",— beds,— beds,0.38,"5225 Little York Rd, Houston, TX 77016"
"$450,000",— beds,— beds,0.43,"TBD Oates Rd, Houston, TX 77013"
"$898,000",— beds,— beds,"8,400","0 Peerless St, Houston, TX 77021"
"$330,000",— beds,— beds,1.36,"7906 & 7910 N Main St, Houston, TX 77022"
"$400,000",— beds,— beds,"7,620","11408 Martin Luther King Blvd, Houston, TX 77048"
"$84,900",— beds,— beds,"7,620","958 Ringold St, Houston, TX 77088"
"$84,900",— beds,— beds,0.60,"960 Ringold St, Houston, TX 77088"
"$65,000",— beds,— beds,"9,000","00 Twilight Ln, Huffman, TX 77336"
"$40,000",— beds,— beds,"7,800","000 Northshore Dr, Houston, TX 77339"
"$30,000",— beds,— beds,"7,800","00 Northshore Dr, Houston, TX 77339"
"$30,000",— beds,— beds,"6,380","0 Northshore Dr, Houston, TX 77339"
"$60,000",— beds,— beds,1.00,"5119 Selinsky Rd, Houston, TX 77048"
"$439,900",— beds,— beds,0.55,"1718 Skinner Rd, Houston, TX 77093"
"$399,990",— beds,— beds,0.25,"4834 Carmen St, Houston, TX 77033"
"$298,500",— beds,— beds,"5,000","0 Pinemont, Houston, TX 77091"
"$139,000",— beds,— beds,"6,000","3652 Seabrook St, Houston, TX 77021"
"$310,000",— beds,— beds,0.36,"3405 Rogers ST St, Houston, TX 77022"
"$950,000",— beds,— beds,"8,570","3622 Aldine Mail Route Rd, Houston, TX 77039"
"$300,000",— beds,— beds,"4,020","2615 Gray St, Houston, TX 77003"
"$100,000",— beds,— beds,0.92,"5119 Creekmont Dr, Houston, TX 77091"
"$425,000",— beds,— beds,"5,000","2929 W Orem Dr, Houston, TX 77045"
"$275,000",— beds,— beds,0.55,"703 N Milby St, Houston, TX 77003"
