rent,rooms,bathrooms,sqft,address
389000,2,2,7500,"345 W Fullerton Pkwy #1904, Chicago, IL 60614"
159500,3,3,1250,"10151 S Avenue M, Chicago, IL 60617"
515000,3,3,3484,"4135 N Sacramento Ave, Chicago, IL 60618"
815000,3,3,1177,"550 N Saint Clair St #1703, Chicago, IL 60611"
638000,3,3,4965,"45 E 23rd St, Chicago, IL 60616"
485000,2,2,650,"1629 S Prairie Ave #1203, Chicago, IL 60616"
275000,1,1,5280,"2310 W Nelson St #307, Chicago, IL 60618"
529900,5,5,3049,"5134 N Saint Louis Ave, Chicago, IL 60625"
799000,4,4,1150,"844 W Agatite Ave Unit 2W, Chicago, IL 60640"
930000,3,3,1650,"1543 N Wieland St Unit 2S, Chicago, IL 60610"
305000,4,4,1071,"6141 S Meade Ave, Chicago, IL 60638"
189900,1,1,3120,"212 W Washington St #2013, Chicago, IL 60606"
310000,3,3,1430,"7324 N Bell Ave #2, Chicago, IL 60645"
80000,2,2,760,"9221 S Avalon Ave, Chicago, IL 60619"
975000,3,3,2250,"360 W Illinois St #619, Chicago, IL 60654"
389000,2,2,1200,"3359 N Clifton Ave #1, Chicago, IL 60657"
299900,2,2,1275,"3505 S Morgan St S #201, Chicago, IL 60609"
149900,2,2,1230,"4721 W 84th Pl, Chicago, IL 60652"
159900,1,1,900,"4250 N Marine Dr #1028, Chicago, IL 60613"
899000,4,4,2700,"3631 N Pine Grove Ave Unit B, Chicago, IL 60613"
359900,3,3,1531,"5034 W Wilson Ave, Chicago, IL 60630"
1400000,5,5,3500,"2817 N Francisco Ave, Chicago, IL 60618"
274900,3,3,3149,"4435 S Leamington Ave, Chicago, IL 60638"
369900,2,2,1080,"660 W Wayman St #502, Chicago, IL 60661"
1075000,3,3,730,"60 E Monroe St #3901, Chicago, IL 60603"
899888,4,4,1750,"1409 S Clark St, Chicago, IL 60605"
370000,4,4,4000,"1218 W 98th St, Chicago, IL 60643"
399900,8,8,2200,"6909 S Indiana Ave, Chicago, IL 60637"
475000,2,2,4151,"420 W Ontario St #305, Chicago, IL 60654"
650000,3,3,3920,"3838 N Sheffield Ave #101, Chicago, IL 60613"
325000,1,1,1355,"345 N La Salle St #2803, Chicago, IL 60654"
210000,2,2,800,"5200 S Drexel Ave Unit 3W, Chicago, IL 60615"
175000,2,2,2500,"4907 N Harlem Ave N #3, Chicago, IL 60656"
1395000,2,2,810,"401 N Wabash Ave Unit 65D, Chicago, IL 60611"
125900,7,7,1100,"1523 S Homan Ave, Chicago, IL 60623"
370000,2,2,1000,"400 N Lasalle Dr #1507, Chicago, IL 60610"
355000,2,2,2022,"1224 W Van Buren St #621, Chicago, IL 60607"
339000,1,1,1015,"Sign in for address, Chicago, IL 60661"
779000,5,5,1067,"5032 S Michigan Ave, Chicago, IL 60615"
439500,2,2,1248,"3660 N Lake Shore Dr #1501, Chicago, IL 60613"
439500,2,2,798,"3660 N Lake Shore Dr #1513, Chicago, IL 60613"
110000,4,4,3100,"2831 E 76th Pl, Chicago, IL 60649"
245000,1,1,4000,"111 W Maple St #2508, Chicago, IL 60610"
575000,5,5,1396,"1721 W 100th Pl, Chicago, IL 60643"
385000,2,2,2439,"5061 N Kenmore Ave #3, Chicago, IL 60640"
700000,2,2,650,"1030 N State St Unit 43L, Chicago, IL 60610"
354500,4,4,1200,"3935 W 67th Place Pl, Chicago, IL 60629"
399900,3,3,3750,"6301 W Higgins Ave, Chicago, IL 60630"
318000,2,2,1441,"916 W Fullerton Ave #3, Chicago, IL 60614"
785000,3,3,1050,"3711 N Janssen Ave #1, Chicago, IL 60613"
199950,2,2,1175,"1033 N Harding Ave, Chicago, IL 60651"
239900,2,2,923,"5932 W 64th Pl W, Chicago, IL 60638"
849000,5,5,1100,"5514 N Glenwood Ave N, Chicago, IL 60640"
165000,2,2,3750,"11345 S Ada St, Chicago, IL 60643"
424900,2,2,3500,"437 W Division St #511, Chicago, IL 60610"
609999,15,15,500,"4245 W Maypole Ave, Chicago, IL 60624"
159900,3,3,3125,"11943 S Princeton Ave, Chicago, IL 60628"
599900,2,2,1033,"125 S Green St Unit 501A, Chicago, IL 60607"
294900,4,4,7161,"5521 S Albany Ave, Chicago, IL 60629"
289000,1,1,842,"1250 S Michigan Ave #1504, Chicago, IL 60605"
235000,2,2,849,"3150 N Neva Ave Unit 3A, Chicago, IL 60634"
949000,4,4,850,"1813 N Sawyer Ave #1, Chicago, IL 60647"
419900,8,8,1065,"5036 W Congress Pkwy, Chicago, IL 60644"
370000,1,1,850,"130 N Garland Ct #2010, Chicago, IL 60602"
189900,3,3,1040,"11521 S Stewart Ave, Chicago, IL 60628"
735000,5,5,3200,"6924 N Oriole Ave, Chicago, IL 60631"
1399000,6,6,5412,"1625 W Winona St, Chicago, IL 60640"
799000,3,3,900,"1229 W Carmen Ave #2, Chicago, IL 60640"
1050000,3,3,1300,"1212 N Lake Shore Dr Unit 25AS, Chicago, IL 60610"
399900,2,2,800,"1455 N Sandburg Ter Unit 2709B, Chicago, IL 60610"
230000,3,3,3000,"9842 S Winston Ave, Chicago, IL 60643"
400000,2,2,3990,"873 N Larrabee St #708, Chicago, IL 60610"
369000,4,4,1267,"3727 N Page Ave, Chicago, IL 60634"
409000,2,2,3750,"160 E Illinois St #907, Chicago, IL 60611"
599999,3,3,4065,"2032 W Augusta Blvd #1, Chicago, IL 60622"
119900,1,1,3125,"1714 W Touhy Ave Unit A1N, Chicago, IL 60626"
550000,2,2,2050,"905 N Kingsbury St #905, Chicago, IL 60610"
385000,3,3,2150,"4927 N Clifton Ave, Norridge, IL 60706"
525000,1,1,801,"600 N Lake Shore Dr #4107, Chicago, IL 60611"
369900,2,2,1226,"1070 W 15th St #202, Chicago, IL 60608"
760000,1,1,1224,"340 E Randolph St #1205, Chicago, IL 60601"
329900,4,4,1730,"5245 S Kolmar Ave, Chicago, IL 60632"
1599000,4,4,3780,"15 N Ada St, Chicago, IL 60607"
201500,5,5,3000,"8918 S Paulina St, Chicago, IL 60620"
574999,3,3,1890,"1111 S State St #701, Chicago, IL 60605"
359000,2,2,1900,"1133 S Wabash Ave #207, Chicago, IL 60605"
849000,5,5,1750,"3257 N Oakley Ave, Chicago, IL 60618"
339900,2,2,1200,"1464 S Michigan Ave #802, Chicago, IL 60605"
314900,5,5,2613,"8136 S Winchester Ave, Chicago, IL 60620"
349900,3,3,1000,"3438 N Harlem Ave #2, Chicago, IL 60634"
417000,2,2,765,"1250 S Indiana Ave #903, Chicago, IL 60605"
350000,2,2,1250,"500 W Superior St #604, Chicago, IL 60654"
330000,6,6,3565,"8251 S May St, Chicago, IL 60620"
325000,2,2,1500,"4453 N Paulina St Unit D3, Chicago, IL 60640"
229900,1,1,4375,"235 W Van Buren St #1517, Chicago, IL 60607"
359900,2,2,1200,"5625 N Wayne Ave Unit A2, Chicago, IL 60660"
273900,2,2,1500,"6129 S Mason Ave, Chicago, IL 60638"
125000,2,2,1149,"739 W 129th Pl, Chicago, IL 60628"
635000,4,4,3101,"4412 S Oakenwald Ave, Chicago, IL 60653"
360000,2,2,750,"4442 N Dover St Unit 3N, Chicago, IL 60640"
430000,5,5,1100,"22 S Austin Blvd, Oak Park, IL 60304"
405000,2,2,6624,"1601 S Indiana Ave #110, Chicago, IL 60616"
283000,3,3,877,"7720 S Marshfield Ave, Chicago, IL 60620"
539000,2,2,978,"1760 N Wells St Unit 1B, Chicago, IL 60614"
335000,1,1,4725,"1560 N Sandburg Ter Unit 4201J, Chicago, IL 60610"
425000,3,3,2995,"2322 S Hoyne Ave, Chicago, IL 60608"
1349900,4,4,1200,"1309 S Indiana Ave, Chicago, IL 60605"
259000,2,2,3484,"24 S Leavitt St Unit B, Chicago, IL 60612"
180000,0,0,3000,"777 N Michigan Ave #1802, Chicago, IL 60611"
549000,4,4,1400,"3245 W Cortez St, Chicago, IL 60651"
775000,11,11,2246,"5124 S Prairie Ave, Chicago, IL 60615"
175000,1,1,600,"233 E Erie St #902, Chicago, IL 60611"
315000,5,5,1880,"1518 E 73rd Pl, Chicago, IL 60619"
1099000,6,6,5227,"3327 W Glenlake Ave, Chicago, IL 60659"
289000,2,2,3800,"4936 N Winthrop Ave Unit 1W, Chicago, IL 60640"
440000,2,2,8276,"615 N Noble St Unit 3N, Chicago, IL 60642"
355000,4,4,1200,"8031 S Michigan Ave, Chicago, IL 60619"
1150000,5,5,1050,"4037 N Troy St, Chicago, IL 60618"
329000,2,2,2400,"801 S Wells St #503, Chicago, IL 60607"
489000,2,2,3125,"848 W Erie St #2, Chicago, IL 60642"
969000,4,4,3900,"1515 S Prairie Ave #1013, Chicago, IL 60605"
1180000,3,3,2757,"367 W Superior St Unit B, Chicago, IL 60654"
319900,1,1,1500,"720 N Larrabee St #1703, Chicago, IL 60654"
419000,2,2,2061,"2045 N Larrabee St #7207, Chicago, IL 60614"
1199000,3,3,6098,"835 N Wood St Unit 102-202, Chicago, IL 60622"
584000,4,4,3300,"3649 S Giles Ave, Chicago, IL 60653"
335000,1,1,813,"1660 N La Salle Dr #3405, Chicago, IL 60614"
669000,2,2,2750,"910 S Michigan Ave #304, Chicago, IL 60605"
389000,2,2,1878,"130 S Canal St #705, Chicago, IL 60606"
319000,2,2,800,"235 W Van Buren St #2313, Chicago, IL 60607"
374900,2,2,1750,"728 W Jackson Blvd #1104, Chicago, IL 60661"
669000,3,3,1750,"100 E 14th St #1001, Chicago, IL 60605"
260000,2,2,750,"4343 N Clarendon Ave #1102, Chicago, IL 60613"
560000,2,2,1438,"195 N Harbor Dr #904, Chicago, IL 60601"
599900,4,4,1667,"2327 W 19th St, Chicago, IL 60608"
381800,11,11,927,"7910 S Greenwood Ave, Chicago, IL 60619"
220000,1,1,1150,"1000 E 53rd St Unit 519S, Chicago, IL 60615"
445000,2,2,1275,"888 S Michigan Ave #401, Chicago, IL 60605"
