price,rooms,bathrooms,sqft,address,city
279000,3,3,4356,"10016 Cartagena Ave SW, Albuquerque, NM 87121","Albuquerque, NM"
313000,2,2,3015,"601 Menaul Blvd NE #304, Albuquerque, NM 87107","Albuquerque, NM"
299900,3,3,20037.6,"3317 Valencia Dr NE, Albuquerque, NM 87110","Albuquerque, NM"
419500,3,3,1988,"12813 El Vado Ct NE, Albuquerque, NM 87112","Albuquerque, NM"
530000,3,3,4356,"5616 Bosque Vista Dr NE, Albuquerque, NM 87111","Albuquerque, NM"
775000,4,4,1723,"10811 Del Rey Ave NE, Albuquerque, NM 87122","Albuquerque, NM"
1025000,3,3,751,"8809 Silver Oak Ln NE, Albuquerque, NM 87113","Albuquerque, NM"
1100000,4,4,1477,"4808 Valle Santo Trl NW, Albuquerque, NM 87120","Albuquerque, NM"
700000,4,4,6098,"13304 Hidden Valley Rd NE, Albuquerque, NM 87111","Albuquerque, NM"
649990,4,4,1645,"9818 Desert Lark Place Ln NE, Albuquerque, NM 87122","Albuquerque, NM"
650000,4,4,6499,"1901 Truman St NE, Albuquerque, NM 87110","Albuquerque, NM"
775000,3,3,1914,"8601 Mesa Rain Rd NW, Albuquerque, NM 87120","Albuquerque, NM"
650000,4,4,3484,"11915 Oryx Pl NE, Albuquerque, NM 87111","Albuquerque, NM"
259990,2,2,2752,"3147 Morrissey St SW, Albuquerque, NM 87121","Albuquerque, NM"
475000,5,5,38768.4,"6213 Lola Dr NE, Albuquerque, NM 87109","Albuquerque, NM"
600000,6,6,3852,"7109 Las Nutrias Rd NW, Albuquerque, NM 87114","Albuquerque, NM"
304900,3,3,7405,"1528 Moon St NE, Albuquerque, NM 87112","Albuquerque, NM"
739900,4,4,3645,"2800 Bosque Del Sol Ln NW, Albuquerque, NM 87120","Albuquerque, NM"
319000,2,2,10454.4,"1900 Cherry Ln NW, Albuquerque, NM 87104","Albuquerque, NM"
375000,3,3,4025,"9615 Aztec Rd NE, Albuquerque, NM 87111","Albuquerque, NM"
392500,1,1,16988.4,"211 Texas St NE, Albuquerque, NM 87108","Albuquerque, NM"
392500,2,2,2016,"209 Texas St NE, Albuquerque, NM 87108","Albuquerque, NM"
539900,3,3,6970,"1565 Summit Hills Dr NE, Albuquerque, NM 87112","Albuquerque, NM"
615000,4,4,2800,"1701 Mount Hood Trl NW, Albuquerque, NM 87120","Albuquerque, NM"
650000,5,5,11761.2,"4629 Albany Ct NW, Albuquerque, NM 87114","Albuquerque, NM"
800000,2,2,3015,"501 Texas St NE, Albuquerque, NM 87106","Albuquerque, NM"
430000,2,2,20037.6,"3417 Thaxton Ave SE, Albuquerque, NM 87106","Albuquerque, NM"
875000,4,4,2413,"7029 Moon Glow Ct NE, Albuquerque, NM 87111","Albuquerque, NM"
595000,4,4,6534,"2215 Stieglitz Ave SE, Albuquerque, NM 87106","Albuquerque, NM"
160000,2,2,1173,"1430 Franciscan St NE, Albuquerque, NM 87102","Albuquerque, NM"
615000,4,4,3202,"7404 Molas Rd NW, Albuquerque, NM 87114","Albuquerque, NM"
760000,4,4,2630,"7905 Tiburon Hills Dr NW, Albuquerque, NM 87120","Albuquerque, NM"
339900,3,3,7840,"971 Barkwell Dr SW, Albuquerque, NM 87121","Albuquerque, NM"
370000,3,3,4110,"324 Chula Vista Pl NE, Albuquerque, NM 87108","Albuquerque, NM"
499000,3,3,6969,"1125 Patricia Cir NW, Corrales, NM 87048","Corrales, NM"
525000,4,4,1285,"1804 Sunset St SE, Albuquerque, NM 87123","Albuquerque, NM"
320000,4,4,7840,"2100 Muriel St NE, Albuquerque, NM 87112","Albuquerque, NM"
375000,2,2,2400,"421 California St SE, Albuquerque, NM 87108","Albuquerque, NM"
725000,2,2,8276,"2319 Chuckwalla Spring Trl NW, Albuquerque, NM 87120","Albuquerque, NM"
309000,3,3,2767,"8612 Gunnison Pl NW, Albuquerque, NM 87120","Albuquerque, NM"
159000,3,3,8276,"4601 Carlisle Blvd NE Unit A14, Albuquerque, NM 87109","Albuquerque, NM"
350000,3,3,1741,"2339 Hendola Dr NE, Albuquerque, NM 87110","Albuquerque, NM"
799000,4,4,3920,"3908 Alamogordo Dr NW, Albuquerque, NM 87120","Albuquerque, NM"
380000,4,4,1052,"8909 Lagrima De Oro Rd NE, Albuquerque, NM 87111","Albuquerque, NM"
425000,3,3,2437,"705 Adams St SE, Albuquerque, NM 87108","Albuquerque, NM"
815000,4,4,8276,"6431 Picardia Pl NW, Albuquerque, NM 87120","Albuquerque, NM"
675000,4,4,3222,"13212 Montgomery Blvd NE, Albuquerque, NM 87111","Albuquerque, NM"
425000,4,4,16117.2,"12525 Iroquois Pl NE, Albuquerque, NM 87112","Albuquerque, NM"
335000,3,3,2172,"4619 Via Macduffee Rd NE, Albuquerque, NM 87111","Albuquerque, NM"
498000,2,2,8712,"3901 Thaxton Ave SE, Albuquerque, NM 87108","Albuquerque, NM"
524990,3,3,2395,"7005 Borg Rd NE, Albuquerque, NM 87111","Albuquerque, NM"
875000,3,3,8712,"9311 Wilshire Ave NE, Albuquerque, NM 87122","Albuquerque, NM"
264900,3,3,2606,"1900 Dakota St NE, Albuquerque, NM 87110","Albuquerque, NM"
725000,4,4,16117.2,"7919 Tiburon Hills Dr NW, Albuquerque, NM 87120","Albuquerque, NM"
275000,1,1,4350,"400 Central Ave SE #305, Albuquerque, NM 87102","Albuquerque, NM"
490000,4,4,13939.2,"4500 Cumberland Rd NW, Albuquerque, NM 87120","Albuquerque, NM"
105000,1,1,2190,"1100 Alvarado Dr SE #303, Albuquerque, NM 87108","Albuquerque, NM"
265000,3,3,7840,"1580 Five Points Rd SW, Albuquerque, NM 87105","Albuquerque, NM"
