price,rooms,address,city
2080,1,"6200 Montano Plaza Dr NW, Albuquerque, NM 87120","Albuquerque, NM"
2080,2,"6200 Montano Plaza Dr NW, Albuquerque, NM 87120","Albuquerque, NM"
2080,3,"6200 Montano Plaza Dr NW, Albuquerque, NM 87120","Albuquerque, NM"
1452,0,"2300 Diamond Mesa Trl SW, Albuquerque, NM 87121","Albuquerque, NM"
6025,1,"2300 Diamond Mesa Trl SW, Albuquerque, NM 87121","Albuquerque, NM"
6025,2,"2300 Diamond Mesa Trl SW, Albuquerque, NM 87121","Albuquerque, NM"
6025,3,"2300 Diamond Mesa Trl SW, Albuquerque, NM 87121","Albuquerque, NM"
6025,4,"2300 Diamond Mesa Trl SW, Albuquerque, NM 87121","Albuquerque, NM"
1244,0,"5324 San Mateo Blvd NE, Albuquerque, NM 87109","Albuquerque, NM"
4533,1,"5324 San Mateo Blvd NE, Albuquerque, NM 87109","Albuquerque, NM"
4533,2,"5324 San Mateo Blvd NE, Albuquerque, NM 87109","Albuquerque, NM"
1745,0,"4101 Central Ave NE, Albuquerque, NM 87108","Albuquerque, NM"
1999,1,"4101 Central Ave NE, Albuquerque, NM 87108","Albuquerque, NM"
1999,2,"4101 Central Ave NE, Albuquerque, NM 87108","Albuquerque, NM"
1350,0,"6601 Tree Line Ave NW, Albuquerque, NM 87114","Albuquerque, NM"
2600,1,"6601 Tree Line Ave NW, Albuquerque, NM 87114","Albuquerque, NM"
2600,2,"6601 Tree Line Ave NW, Albuquerque, NM 87114","Albuquerque, NM"
2600,3,"6601 Tree Line Ave NW, Albuquerque, NM 87114","Albuquerque, NM"
2600,4,"6601 Tree Line Ave NW, Albuquerque, NM 87114","Albuquerque, NM"
1325,0,"5301 Antequera Rd NW, Albuquerque, NM 87120","Albuquerque, NM"
3995,1,"5301 Antequera Rd NW, Albuquerque, NM 87120","Albuquerque, NM"
3995,2,"5301 Antequera Rd NW, Albuquerque, NM 87120","Albuquerque, NM"
1558,0,"7800 Headline Blvd NE, Albuquerque, NM 87109","Albuquerque, NM"
2367,1,"7800 Headline Blvd NE, Albuquerque, NM 87109","Albuquerque, NM"
2367,2,"7800 Headline Blvd NE, Albuquerque, NM 87109","Albuquerque, NM"
1525,0,"6500 Americas Pky NE, Albuquerque, NM 87110","Albuquerque, NM"
2701,1,"6500 Americas Pky NE, Albuquerque, NM 87110","Albuquerque, NM"
2701,2,"6500 Americas Pky NE, Albuquerque, NM 87110","Albuquerque, NM"
1195,0,"2818 4th St NW, Albuquerque, NM 87107","Albuquerque, NM"
1800,1,"2818 4th St NW, Albuquerque, NM 87107","Albuquerque, NM"
1800,2,"2818 4th St NW, Albuquerque, NM 87107","Albuquerque, NM"
1600,0,"8901 Holly Ave NE, Albuquerque, NM 87122","Albuquerque, NM"
2175,1,"8901 Holly Ave NE, Albuquerque, NM 87122","Albuquerque, NM"
2175,2,"8901 Holly Ave NE, Albuquerque, NM 87122","Albuquerque, NM"
1507,0,"6700 Modesto Ave NE, Albuquerque, NM 87113","Albuquerque, NM"
2457,1,"6700 Modesto Ave NE, Albuquerque, NM 87113","Albuquerque, NM"
2457,2,"6700 Modesto Ave NE, Albuquerque, NM 87113","Albuquerque, NM"
1005,0,"4217 Louisiana Blvd NE, Albuquerque, NM 87109","Albuquerque, NM"
1380,1,"4217 Louisiana Blvd NE, Albuquerque, NM 87109","Albuquerque, NM"
1380,2,"4217 Louisiana Blvd NE, Albuquerque, NM 87109","Albuquerque, NM"
1675,0,"6701 Tennyson St NE, Albuquerque, NM 87111","Albuquerque, NM"
2913,1,"6701 Tennyson St NE, Albuquerque, NM 87111","Albuquerque, NM"
2913,2,"6701 Tennyson St NE, Albuquerque, NM 87111","Albuquerque, NM"
2913,3,"6701 Tennyson St NE, Albuquerque, NM 87111","Albuquerque, NM"
714,0,"7220 Central Ave SE, Albuquerque, NM 87108","Albuquerque, NM"
1229,1,"7220 Central Ave SE, Albuquerque, NM 87108","Albuquerque, NM"
1229,2,"7220 Central Ave SE, Albuquerque, NM 87108","Albuquerque, NM"
1005,0,"4401 Morris St NE, Albuquerque, NM 87111","Albuquerque, NM"
1345,1,"4401 Morris St NE, Albuquerque, NM 87111","Albuquerque, NM"
1345,2,"4401 Morris St NE, Albuquerque, NM 87111","Albuquerque, NM"
1625,2,"5100 Mesa Del Oso Rd NE, Albuquerque, NM 87111","Albuquerque, NM"
2042,2,"5100 Mesa Del Oso Rd NE, Albuquerque, NM 87111","Albuquerque, NM"
975,0,"3400 Comanche Rd NE, Albuquerque, NM 87107","Albuquerque, NM"
3023,1,"3400 Comanche Rd NE, Albuquerque, NM 87107","Albuquerque, NM"
3023,2,"3400 Comanche Rd NE, Albuquerque, NM 87107","Albuquerque, NM"
785,0,"1001 Louisiana Blvd NE, Albuquerque, NM 87110","Albuquerque, NM"
860,1,"1001 Louisiana Blvd NE, Albuquerque, NM 87110","Albuquerque, NM"
860,2,"1001 Louisiana Blvd NE, Albuquerque, NM 87110","Albuquerque, NM"
2375,0,"3003 Transport St SE, Albuquerque, NM 87106","Albuquerque, NM"
2400,1,"3003 Transport St SE, Albuquerque, NM 87106","Albuquerque, NM"
2400,2,"3003 Transport St SE, Albuquerque, NM 87106","Albuquerque, NM"
2400,3,"3003 Transport St SE, Albuquerque, NM 87106","Albuquerque, NM"
2400,4,"3003 Transport St SE, Albuquerque, NM 87106","Albuquerque, NM"
2400,5,"3003 Transport St SE, Albuquerque, NM 87106","Albuquerque, NM"
1995,0,"1500 Central Ave SW, Albuquerque, NM 87104","Albuquerque, NM"
2895,1,"1500 Central Ave SW, Albuquerque, NM 87104","Albuquerque, NM"
2895,2,"1500 Central Ave SW, Albuquerque, NM 87104","Albuquerque, NM"
2895,3,"1500 Central Ave SW, Albuquerque, NM 87104","Albuquerque, NM"
896,0,"12021 Skyline Rd NE, Albuquerque, NM 87123","Albuquerque, NM"
1280,1,"12021 Skyline Rd NE, Albuquerque, NM 87123","Albuquerque, NM"
1280,2,"12021 Skyline Rd NE, Albuquerque, NM 87123","Albuquerque, NM"
1280,3,"12021 Skyline Rd NE, Albuquerque, NM 87123","Albuquerque, NM"
1305,0,"6303 Indian School Rd NE, Albuquerque, NM 87110","Albuquerque, NM"
2295,1,"6303 Indian School Rd NE, Albuquerque, NM 87110","Albuquerque, NM"
2295,2,"6303 Indian School Rd NE, Albuquerque, NM 87110","Albuquerque, NM"
2295,3,"6303 Indian School Rd NE, Albuquerque, NM 87110","Albuquerque, NM"
774,0,"4200 Spanish Bit NE, Albuquerque, NM 87111","Albuquerque, NM"
922,1,"4200 Spanish Bit NE, Albuquerque, NM 87111","Albuquerque, NM"
922,2,"4200 Spanish Bit NE, Albuquerque, NM 87111","Albuquerque, NM"
900,0,"11800 Montgomery Blvd NE, Albuquerque, NM 87111","Albuquerque, NM"
1599,1,"11800 Montgomery Blvd NE, Albuquerque, NM 87111","Albuquerque, NM"
1599,2,"11800 Montgomery Blvd NE, Albuquerque, NM 87111","Albuquerque, NM"
1295,0,"7000 Phoenix Ave NE, Albuquerque, NM 87110","Albuquerque, NM"
1995,1,"7000 Phoenix Ave NE, Albuquerque, NM 87110","Albuquerque, NM"
1995,2,"7000 Phoenix Ave NE, Albuquerque, NM 87110","Albuquerque, NM"
940,0,"14124 Copper Ave NE, Albuquerque, NM 87123","Albuquerque, NM"
1110,1,"14124 Copper Ave NE, Albuquerque, NM 87123","Albuquerque, NM"
1110,2,"14124 Copper Ave NE, Albuquerque, NM 87123","Albuquerque, NM"
850,0,"8401 Spain Rd NE, Albuquerque, NM 87111","Albuquerque, NM"
2745,1,"8401 Spain Rd NE, Albuquerque, NM 87111","Albuquerque, NM"
2745,2,"8401 Spain Rd NE, Albuquerque, NM 87111","Albuquerque, NM"
1307,0,"9180 Coors Rd NW, Albuquerque, NM 87120","Albuquerque, NM"
3204,1,"9180 Coors Rd NW, Albuquerque, NM 87120","Albuquerque, NM"
3204,2,"9180 Coors Rd NW, Albuquerque, NM 87120","Albuquerque, NM"
3204,3,"9180 Coors Rd NW, Albuquerque, NM 87120","Albuquerque, NM"
1224,0,"6000 Montano Plaza Dr NW, Albuquerque, NM 87120","Albuquerque, NM"
2089,1,"6000 Montano Plaza Dr NW, Albuquerque, NM 87120","Albuquerque, NM"
2089,2,"6000 Montano Plaza Dr NW, Albuquerque, NM 87120","Albuquerque, NM"
930,0,"3958 Montgomery Blvd NE, Albuquerque, NM 87109","Albuquerque, NM"
2567,1,"3958 Montgomery Blvd NE, Albuquerque, NM 87109","Albuquerque, NM"
2567,2,"3958 Montgomery Blvd NE, Albuquerque, NM 87109","Albuquerque, NM"
995,0,"557 Tramway Blvd NE, Albuquerque, NM 87123","Albuquerque, NM"
1545,1,"557 Tramway Blvd NE, Albuquerque, NM 87123","Albuquerque, NM"
1545,2,"557 Tramway Blvd NE, Albuquerque, NM 87123","Albuquerque, NM"
1545,3,"557 Tramway Blvd NE, Albuquerque, NM 87123","Albuquerque, NM"
900,0,"4401 Montgomery Blvd NE, Albuquerque, NM 87109","Albuquerque, NM"
1500,1,"4401 Montgomery Blvd NE, Albuquerque, NM 87109","Albuquerque, NM"
1500,2,"4401 Montgomery Blvd NE, Albuquerque, NM 87109","Albuquerque, NM"
1500,3,"4401 Montgomery Blvd NE, Albuquerque, NM 87109","Albuquerque, NM"
740,Studio,"1020 Central Ave SW, Albuquerque, NM 87102","Albuquerque, NM"
790,Studio,"1020 Central Ave SW, Albuquerque, NM 87102","Albuquerque, NM"
1145,0,"12700 Indian School Rd NE, Albuquerque, NM 87112","Albuquerque, NM"
1459,1,"12700 Indian School Rd NE, Albuquerque, NM 87112","Albuquerque, NM"
1459,2,"12700 Indian School Rd NE, Albuquerque, NM 87112","Albuquerque, NM"
1213,0,"12400 Montgomery Blvd NE, Albuquerque, NM 87111","Albuquerque, NM"
1880,1,"12400 Montgomery Blvd NE, Albuquerque, NM 87111","Albuquerque, NM"
1880,2,"12400 Montgomery Blvd NE, Albuquerque, NM 87111","Albuquerque, NM"
1110,0,"4800 San Mateo Ln NE, Albuquerque, NM 87109","Albuquerque, NM"
1250,1,"4800 San Mateo Ln NE, Albuquerque, NM 87109","Albuquerque, NM"
1250,2,"4800 San Mateo Ln NE, Albuquerque, NM 87109","Albuquerque, NM"
899,0,"6300 Montgomery Blvd NE, Albuquerque, NM 87109","Albuquerque, NM"
1150,1,"6300 Montgomery Blvd NE, Albuquerque, NM 87109","Albuquerque, NM"
1150,2,"6300 Montgomery Blvd NE, Albuquerque, NM 87109","Albuquerque, NM"
859,0,"1201 Madeira Dr SE, Albuquerque, NM 87108","Albuquerque, NM"
1099,1,"1201 Madeira Dr SE, Albuquerque, NM 87108","Albuquerque, NM"
1099,2,"1201 Madeira Dr SE, Albuquerque, NM 87108","Albuquerque, NM"
799,0,"4501 Shepard Rd NE, Albuquerque, NM 87110","Albuquerque, NM"
1149,1,"4501 Shepard Rd NE, Albuquerque, NM 87110","Albuquerque, NM"
1149,2,"4501 Shepard Rd NE, Albuquerque, NM 87110","Albuquerque, NM"
645,0,"2800 Lexington Pl NE, Albuquerque, NM 87112","Albuquerque, NM"
995,1,"2800 Lexington Pl NE, Albuquerque, NM 87112","Albuquerque, NM"
995,2,"2800 Lexington Pl NE, Albuquerque, NM 87112","Albuquerque, NM"
662,0,"4300 Pan American Fwy NE, Albuquerque, NM 87107","Albuquerque, NM"
1426,1,"4300 Pan American Fwy NE, Albuquerque, NM 87107","Albuquerque, NM"
1426,2,"4300 Pan American Fwy NE, Albuquerque, NM 87107","Albuquerque, NM"
1426,3,"4300 Pan American Fwy NE, Albuquerque, NM 87107","Albuquerque, NM"
840,0,"7303 Montgomery Blvd NE, Albuquerque, NM 87109","Albuquerque, NM"
1246,1,"7303 Montgomery Blvd NE, Albuquerque, NM 87109","Albuquerque, NM"
1246,2,"7303 Montgomery Blvd NE, Albuquerque, NM 87109","Albuquerque, NM"
1246,3,"7303 Montgomery Blvd NE, Albuquerque, NM 87109","Albuquerque, NM"
840,0,"2525 Tingley Dr SW, Albuquerque, NM 87104","Albuquerque, NM"
1350,1,"2525 Tingley Dr SW, Albuquerque, NM 87104","Albuquerque, NM"
1350,2,"2525 Tingley Dr SW, Albuquerque, NM 87104","Albuquerque, NM"
1350,3,"2525 Tingley Dr SW, Albuquerque, NM 87104","Albuquerque, NM"
1725,2,"7801 Marble Ave NE, Albuquerque, NM 87110","Albuquerque, NM"
1395,2,"1920 Vassar Dr NE, Albuquerque, NM 87106","Albuquerque, NM"
1495,2,"321 Jefferson St SE, Albuquerque, NM 87108","Albuquerque, NM"
1995,2,"321 Jefferson St SE, Albuquerque, NM 87108","Albuquerque, NM"
845,0,"3135 Comanche Rd NE, Albuquerque, NM 87107","Albuquerque, NM"
1130,1,"3135 Comanche Rd NE, Albuquerque, NM 87107","Albuquerque, NM"
1130,2,"3135 Comanche Rd NE, Albuquerque, NM 87107","Albuquerque, NM"
899,0,"3308 4th St, Albuquerque, NM 87107","Albuquerque, NM"
1708,1,"3308 4th St, Albuquerque, NM 87107","Albuquerque, NM"
1708,2,"3308 4th St, Albuquerque, NM 87107","Albuquerque, NM"
1650,4,"501 Coal Ave SW, Albuquerque, NM 87102","Albuquerque, NM"
1875,3,"5500 Eastern Ave SE, Albuquerque, NM 87108","Albuquerque, NM"
675,0,"5500 Eastern Ave SE, Albuquerque, NM 87108","Albuquerque, NM"
995,1,"5500 Eastern Ave SE, Albuquerque, NM 87108","Albuquerque, NM"
995,2,"5500 Eastern Ave SE, Albuquerque, NM 87108","Albuquerque, NM"
900,0,"7100 Constitution Ave NE, Albuquerque, NM 87110","Albuquerque, NM"
1525,1,"7100 Constitution Ave NE, Albuquerque, NM 87110","Albuquerque, NM"
1525,2,"7100 Constitution Ave NE, Albuquerque, NM 87110","Albuquerque, NM"
1525,3,"7100 Constitution Ave NE, Albuquerque, NM 87110","Albuquerque, NM"
687,0,"1201 San Pedro Blvd SE, Albuquerque, NM 87108","Albuquerque, NM"
1536,1,"1201 San Pedro Blvd SE, Albuquerque, NM 87108","Albuquerque, NM"
1536,2,"1201 San Pedro Blvd SE, Albuquerque, NM 87108","Albuquerque, NM"
1250,1,"9251 Eagle Ranch Rd NW, Albuquerque, NM 87114","Albuquerque, NM"
750,0,"4300 Bryn Mawr Dr NE, Albuquerque, NM 87107","Albuquerque, NM"
1700,1,"4300 Bryn Mawr Dr NE, Albuquerque, NM 87107","Albuquerque, NM"
1700,2,"4300 Bryn Mawr Dr NE, Albuquerque, NM 87107","Albuquerque, NM"
979,0,"6801 Glenrio Rd NW, Albuquerque, NM 87121","Albuquerque, NM"
1125,1,"6801 Glenrio Rd NW, Albuquerque, NM 87121","Albuquerque, NM"
1125,2,"6801 Glenrio Rd NW, Albuquerque, NM 87121","Albuquerque, NM"
1125,3,"6801 Glenrio Rd NW, Albuquerque, NM 87121","Albuquerque, NM"
